Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
10030 S OAKLEY AVE,Chicago,IL,,2019-10-16T00:00:00Z,3,10,9.6,FALSE,10030 S OAKLEY AVE,-87.67942366899996,41.711289194000074,17,31,720300,3011
10730 S AVENUE,Chicago,IL,,2021-10-13T07:14:00Z,2.1,2.6,2.8,FALSE,10730 S AVENUE,NA,NA,NA,NA,NA,NA
1030 N RIVER WALK,Chicago,IL,,2018-08-05T00:00:00Z,< 1,< 1,< 1,FALSE,1030 N RIVER WALK,NA,NA,NA,NA,NA,NA
1030 W 129TH PL,Chicago,IL,,2016-09-08T00:00:00Z,6.1,2.9,3.2,FALSE,1030 W 129TH PL,NA,NA,NA,NA,NA,NA
1030 W 129TH PL,Chicago,IL,,2021-11-30T16:00:00Z,2.7,6,1,FALSE,1030 W 129TH PL,NA,NA,NA,NA,NA,NA
11430 S DR MARTIN LUTHER KING JR DR,Chicago,IL,,2020-11-24T00:00:00Z,1.3,7.4,< 1,FALSE,11430 S DR MARTIN LUTHER KING JR DR,NA,NA,NA,NA,NA,NA
11430 S HAMLIN AVE,Chicago,IL,,2016-06-27T00:00:00Z,6.5,9.8000000000000007,4.9000000000000004,FALSE,11430 S HAMLIN AVE,NA,NA,NA,NA,NA,NA
1230 N SANDBURG TER,Chicago,IL,,2017-03-30T00:00:00Z,1.3,< 1,< 1,FALSE,1230 N SANDBURG TER,NA,NA,NA,NA,NA,NA
1230 W WESTGATE TER,Chicago,IL,,2018-05-19T00:00:00Z,2.9,4.2,2.2000000000000002,FALSE,1230 W WESTGATE TER,NA,NA,NA,NA,NA,NA
1230 W WESTGATE TER,Chicago,IL,,2018-12-25T00:00:00Z,2,3.7,< 1,FALSE,1230 W WESTGATE TER,NA,NA,NA,NA,NA,NA
13030 S DR MARTIN LUTHER KING JR DR,Chicago,IL,,2019-10-01T00:00:00Z,< 1,< 1,< 1,FALSE,13030 S DR MARTIN LUTHER KING JR DR,NA,NA,NA,NA,NA,NA
13030 S DR MARTIN LUTHER KING JR DR,Chicago,IL,,2020-02-25T00:00:00Z,< 1,< 1,< 1,FALSE,13030 S DR MARTIN LUTHER KING JR DR,NA,NA,NA,NA,NA,NA
13430 W ESTES AVE,Chicago,IL,,2018-07-31T00:00:00Z,< 1,< 1,< 1,FALSE,13430 W ESTES AVE,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2018-07-12T00:00:00Z,< 1,< 1,< 1,FALSE,1330 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2019-02-18T00:00:00Z,< 1,< 1,< 1,FALSE,1330 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2019-07-04T00:00:00Z,2,4.2,2.5,FALSE,1330 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2020-09-17T00:00:00Z,< 1,< 1,< 1,FALSE,1330 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W CRYSTAL ST,Chicago,IL,,2021-10-11T08:30:00Z,<1.0,<1.0,<1.0,FALSE,1330 W CRYSTAL ST,NA,NA,NA,NA,NA,NA
1330 W EVERGREEN AVE,Chicago,IL,,2018-09-26T00:00:00Z,1.4,1.7,2,FALSE,1330 W EVERGREEN AVE,NA,NA,NA,NA,NA,NA
1330 W WESTGATE TER,Chicago,IL,,2019-05-12T00:00:00Z,3.6,< 1,< 1,FALSE,1330 W WESTGATE TER,NA,NA,NA,NA,NA,NA
1330 WEST WESTGATE TER,Chicago,IL,,2019-01-25T00:00:00Z,1.3,< 1,< 1,FALSE,1330 WEST WESTGATE TER,NA,NA,NA,NA,NA,NA
1430 E ROCHDALE PL,Chicago,IL,,2018-06-06T00:00:00Z,1.3,< 1,< 1,FALSE,1430 E ROCHDALE PL,NA,NA,NA,NA,NA,NA
1730 N SAINT MICHAELS CT,Chicago,IL,,2019-04-16T00:00:00Z,2.2000000000000002,1.6,< 1,FALSE,1730 N SAINT MICHAELS CT,NA,NA,NA,NA,NA,NA
1730 N SAINT MICHAELS CT,Chicago,IL,,2021-09-14T07:35:00Z,4.5999999999999996,2.2999999999999998,1.9,FALSE,1730 N SAINT MICHAELS CT,NA,NA,NA,NA,NA,NA
1730 N ST MICHAELS CT,Chicago,IL,,2018-11-24T00:00:00Z,87,3,4,FALSE,1730 N ST MICHAELS CT,NA,NA,NA,NA,NA,NA
1730 W WALTER BURLEY GRIFFIN PL,Chicago,IL,,2019-09-15T00:00:00Z,4.5999999999999996,4.2,2.8,FALSE,1730 W WALTER BURLEY GRIFFIN PL,NA,NA,NA,NA,NA,NA
1830 S FEDERAL ST,Chicago,IL,,2019-10-22T00:00:00Z,< 1,< 1,< 1,FALSE,1830 S FEDERAL ST,NA,NA,NA,NA,NA,NA
130 N GARLAND CT,Chicago,IL,,2018-07-15T00:00:00Z,< 1,< 1,< 1,FALSE,130 N GARLAND CT,NA,NA,NA,NA,NA,NA
130 N GARLAND CT,Chicago,IL,,2018-08-26T00:00:00Z,< 1,< 1,< 1,FALSE,130 N GARLAND CT,NA,NA,NA,NA,NA,NA
2030 W MCLEAN AVE,Chicago,IL,,2016-09-26T00:00:00Z,< 1,< 1,< 1,FALSE,2030 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2030 W MCLEAN AVE,Chicago,IL,,2018-11-05T00:00:00Z,< 1,< 1,< 1,FALSE,2030 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2030 W MCLEAN AVE,Chicago,IL,,2019-08-12T00:00:00Z,< 1,< 1,< 1,FALSE,2030 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2230 N LINCOLN AVE,Chicago,IL,,2017-02-13T00:00:00Z,< 1,< 1,< 1,FALSE,2230 N LINCOLN AVE,-87.64477073899997,41.92250866100005,17,31,71200,1009
2330 W MCLEAN AVE,Chicago,IL,,2018-07-10T00:00:00Z,< 1,< 1,< 1,FALSE,2330 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2330 W MCLEAN AVE,Chicago,IL,,2019-03-28T00:00:00Z,1.4,1.3,< 1,FALSE,2330 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2330 W MCLEAN AVE,Chicago,IL,,2019-09-18T00:00:00Z,< 1,< 1,< 1,FALSE,2330 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2330 W MCLEAN AVE,Chicago,IL,,2019-12-19T00:00:00Z,< 1,1.3,1.3,FALSE,2330 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2330 W MCLEAN AVE,Chicago,IL,,2020-09-19T00:00:00Z,< 1,< 1,< 1,FALSE,2330 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2430 W 32ND PL,Chicago,IL,,2019-01-10T00:00:00Z,< 1,< 1,< 1,FALSE,2430 W 32ND PL,NA,NA,NA,NA,NA,NA
2430 W HOWARD ST,Chicago,IL,,2022-01-19T19:30:00Z,<0.5,<0.5,<0.5,FALSE,2430 W HOWARD ST,NA,NA,NA,NA,NA,NA
2430 W MCLEAN AVE,Chicago,IL,,2018-08-03T00:00:00Z,< 1,< 1,< 1,FALSE,2430 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2430 W MCLEAN AVE,Chicago,IL,,2019-04-23T00:00:00Z,< 1,< 1,< 1,FALSE,2430 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2530 N CAN PARK AVE,Chicago,IL,,2018-08-16T00:00:00Z,5,4.2,3.5,FALSE,2530 N CAN PARK AVE,NA,NA,NA,NA,NA,NA
2730 W SAINT GEORGES CT,Chicago,IL,,2021-10-27T22:36:00Z,4.4000000000000004,3.6,2.8,FALSE,2730 W SAINT GEORGES CT,NA,NA,NA,NA,NA,NA
2830 N SAWYER AVE,Chicago,IL,,2018-09-04T00:00:00Z,< 1,< 1,< 1,FALSE,2830 N SAWYER AVE,-87.70874193699996,41.93277166900003,17,31,210602,1014
2830 N RIVERWALK DR,Chicago,IL,,2020-07-27T00:00:00Z,< 1,< 1,< 1,FALSE,2830 N RIVERWALK DR,NA,NA,NA,NA,NA,NA
2830 W MCLEAN AVE,Chicago,IL,,2021-05-13T00:00:00Z,2.2999999999999998,5.2,2.8,FALSE,2830 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2830 W MCLEAN AVE,Chicago,IL,,2021-10-03T10:40:00Z,<1.0,<1.0,<1.0,FALSE,2830 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2930 N RIVERWALK DR,Chicago,IL,,2018-08-06T00:00:00Z,< 1,< 1,< 1,FALSE,2930 N RIVERWALK DR,NA,NA,NA,NA,NA,NA
230 N WESTSHORE DR,Chicago,IL,,2019-12-05T00:00:00Z,< 1,< 1,< 1,FALSE,230 N WESTSHORE DR,NA,NA,NA,NA,NA,NA
230 W CONCORD LN,Chicago,IL,,2018-08-21T00:00:00Z,2,1,1,FALSE,230 W CONCORD LN,NA,NA,NA,NA,NA,NA
3230 W 71STST,Chicago,IL,,2017-04-09T00:00:00Z,1.7,< 1,< 1,FALSE,3230 W 71STST,NA,NA,NA,NA,NA,NA
3230 W LE MOYNE ST,Chicago,IL,,2017-11-05T00:00:00Z,< 1,< 1,< 1,FALSE,3230 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3230 W LE MOYNE ST,Chicago,IL,,2021-03-09T00:00:00Z,4.5999999999999996,2.9,1.9,FALSE,3230 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2016-05-25T00:00:00Z,< 1,< 1,< 1,FALSE,3430 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2016-06-03T00:00:00Z,< 1,< 1,< 1,FALSE,3430 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2018-08-14T00:00:00Z,< 1,< 1,< 1,FALSE,3430 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2018-08-20T00:00:00Z,< 1,< 1,< 1,FALSE,3430 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 W LE MOYNE ST,Chicago,IL,,2019-03-25T00:00:00Z,4,2.6,2.2000000000000002,FALSE,3430 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3430 W LE MOYNE ST,Chicago,IL,,2021-08-05T12:18:00Z,3.6,4.0999999999999996,2.1,FALSE,3430 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3430 W MCLEAN AVE,Chicago,IL,,2018-12-26T00:00:00Z,2.4,4.8,3.7,FALSE,3430 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
3530 W LE MOYNE ST,Chicago,IL,,2021-04-14T00:00:00Z,3,3.1,1.4,FALSE,3530 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-08-12T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-09-15T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3630 N LAKE SHORE DR,Chicago,IL,,2018-09-29T00:00:00Z,< 1,< 1,< 1,FALSE,3630 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
